Position Number,Applicant ID,Applicant Status,Internal/External Applicant,Sex,Disabled,Disab Vet,Race/Ethnicity,Mil Status
18229.0,73872929,Rejected; No Interview,External,Female,,,Black/African American,Not indicated
18229.0,81669887,Rejected; No Interview,External,Male,N,N,Black/African American,Not a Veteran
18229.0,97844863,Rejected; Interview,External,Male,,,White,Not indicated
18229.0,99479699,Rejected; No Interview,External,Female,N,N,Asian,Not a Veteran
18256.0,14061503,Rejected; Interview,External,Female,Y,N,Black/African American,Not a Veteran
18256.0,15528570,Rejected; No Interview,External,Male,N,N,American Indian/Alaska Native,Not a Veteran
18256.0,18405912,Hired,External,Female,Y,,Asian,Not indicated
18256.0,24014718,Rejected; No Interview,External,Male,N,N,White,Not a Veteran
18256.0,24426481,Rejected; No Interview,External,Male,,,Asian,Not indicated
18256.0,26093927,Rejected; No Interview,External,Male,,,Asian,Not indicated
18256.0,26655783,Rejected; Interview,External,Female,,,White,Not indicated
18256.0,34451259,Rejected; No Interview,External,Male,N,N,White,Not a Veteran
18256.0,44091235,Rejected; No Interview,External,Male,,,Asian,Not indicated
18256.0,44814360,Rejected; No Interview,External,Female,N,N,Black/African American,Not a Veteran
18256.0,49166269,Rejected; No Interview,External,Male,,,Hispanic/Latino,Not indicated
18256.0,51083089,Rejected; Min Qualifications Not Met,External,Female,,,Asian,Not indicated
18256.0,53324153,Rejected; No Interview,External,Female,,,Asian,Not indicated
18256.0,55673312,Rejected; No Interview,External,Female,N,N,Hispanic/Latino,Not a Veteran
18256.0,60485382,Rejected; Min Qualifications Not Met,External,Female,,,White,Not indicated
18256.0,63352784,Rejected; No Interview,External,Female,,,White,Not indicated
18256.0,66907543,Rejected; No Interview,External,Female,,,White,Not indicated
18256.0,70225440,Rejected; No Interview,External,Male,,,Black/African American,Not indicated
18256.0,76689058,Rejected; No Interview,External,Male,,,Black/African American,Not indicated
18256.0,90924869,Rejected; No Interview,External,Male,,,White,Not indicated
18256.0,91327371,Rejected; No Interview,External,Female,Y,,White,Not indicated
18256.0,93695335,Rejected; No Interview,External,Male,,,Black/African American,Not a Veteran
18256.0,95683560,Rejected; No Interview,External,Male,,,White,Not indicated
18256.0,98158317,Rejected; Min Qualifications Not Met,External,Male,N,N,Asian,Not a Veteran
18256.0,99436410,Rejected; No Interview,External,Male,N,N,White,Not a Veteran
18262.0,10565756,Rejected; No Interview,External,Female,,,Black/African American,Not indicated
18262.0,32484858,Hired,External,Female,N,N,Hispanic/Latino,Not a Veteran
18262.0,42451821,Rejected; Interview,External,Female,N,N,Asian,Not a Veteran
18262.0,57213637,Rejected; No Interview,External,Male,,,Black/African American,No Military Service
18262.0,72359372,Rejected; No Interview,External,Male,N,N,White,Not a Veteran
